 0  0  0  1.2595e+21  1.6359e-03  4.8003e-13
 0  1  0  1.2742e+21  1.6116e-03  5.2288e-13
 0  2  0  1.2618e+21  1.6637e-03  5.0924e-13
 0  3  0  1.2728e+21  1.5329e-03  5.2484e-13
 1  0  0  2.0940e+21  2.6064e-03  9.1805e-13
 1  1  0  2.1369e+21  3.0508e-03  9.3443e-13
 1  2  0  2.1117e+21  3.3463e-03  9.5337e-13
 1  3  0  2.1204e+21  2.9061e-03  9.2837e-13
 2  0  0  2.5062e+21  2.7470e-03  1.0262e-12
 2  1  0  2.5148e+21  3.4950e-03  1.0701e-12
 2  2  0  2.4712e+21  3.1352e-03  1.0499e-12
 2  3  0  2.5136e+21  2.9734e-03  1.0327e-12
 0  0  1  1.0080e+21  1.0280e-03  4.0523e-13
 0  1  1  1.0197e+21  1.2587e-03  4.2404e-13
 0  2  1  1.0081e+21  1.1231e-03  4.1430e-13
 0  3  1  1.0134e+21  1.2952e-03  4.1795e-13
 1  0  1  1.6791e+21  2.2333e-03  7.3955e-13
 1  1  1  1.7003e+21  2.2505e-03  7.8062e-13
 1  2  1  1.6981e+21  2.1730e-03  7.4907e-13
 1  3  1  1.7117e+21  2.5194e-03  7.6298e-13
 2  0  1  2.0118e+21  2.4987e-03  8.4424e-13
 2  1  1  2.0278e+21  2.7425e-03  8.6514e-13
 2  2  1  1.9795e+21  2.4841e-03  8.5134e-13
 2  3  1  2.0178e+21  2.3508e-03  8.5774e-13
 0  0  2  7.8187e+20  1.0420e-03  3.0842e-13
 0  1  2  7.8837e+20  8.9650e-04  3.3203e-13
 0  2  2  7.8512e+20  9.0574e-04  3.2946e-13
 0  3  2  7.9143e+20  1.2191e-03  3.4499e-13
 1  0  2  1.3226e+21  1.8975e-03  5.8861e-13
 1  1  2  1.3244e+21  1.8532e-03  6.0709e-13
 1  2  2  1.3183e+21  1.7313e-03  5.8965e-13
 1  3  2  1.3349e+21  1.8091e-03  5.9964e-13
 2  0  2  1.5761e+21  1.8795e-03  6.7996e-13
 2  1  2  1.5807e+21  2.0773e-03  7.0707e-13
 2  2  2  1.5443e+21  2.0740e-03  6.9606e-13
 2  3  2  1.5785e+21  2.1354e-03  6.8106e-13
 0  0  3  5.7919e+20  7.6336e-04  2.6236e-13
 0  1  3  5.8477e+20  7.9465e-04  2.6353e-13
 0  2  3  5.8329e+20  7.9781e-04  2.4451e-13
 0  3  3  5.9080e+20  9.0614e-04  2.6811e-13
 1  0  3  9.7229e+20  1.3163e-03  4.7114e-13
 1  1  3  9.8477e+20  1.5700e-03  4.7664e-13
 1  2  3  9.8935e+20  1.2987e-03  4.7657e-13
 1  3  3  9.8503e+20  1.4639e-03  4.7618e-13
 2  0  3  1.1746e+21  1.6202e-03  5.2409e-13
 2  1  3  1.1726e+21  1.7521e-03  5.1679e-13
 2  2  3  1.1621e+21  1.7145e-03  5.4667e-13
 2  3  3  1.1886e+21  1.5871e-03  5.2521e-13
 0  0  4  3.8767e+20  6.7234e-04  1.6695e-13
 0  1  4  3.9187e+20  6.8468e-04  1.9772e-13
 0  2  4  3.8843e+20  5.8023e-04  1.8599e-13
 0  3  4  3.9190e+20  8.5186e-04  2.0039e-13
 1  0  4  6.4214e+20  8.7752e-04  2.9179e-13
 1  1  4  6.5456e+20  1.1265e-03  3.2555e-13
 1  2  4  6.5084e+20  9.6527e-04  3.4820e-13
 1  3  4  6.5289e+20  9.2065e-04  3.3830e-13
 2  0  4  7.8380e+20  1.3462e-03  3.9253e-13
 2  1  4  7.8392e+20  1.2514e-03  3.8287e-13
 2  2  4  7.8329e+20  1.1722e-03  3.9225e-13
 2  3  4  7.9461e+20  1.3927e-03  3.9408e-13
