 0  0  0  3.0863e+20  3.2745e-02  2.2992e-13
 0  1  0  3.1023e+20  3.1659e-02  2.4588e-13
 0  2  0  3.1899e+20  3.3186e-02  2.6788e-13
 0  3  0  3.0709e+20  3.2230e-02  2.5189e-13
 1  0  0  6.2520e+20  4.0670e-03  2.2479e-13
 1  1  0  6.6106e+20  4.2195e-03  2.7055e-13
 1  2  0  6.4649e+20  3.9803e-03  2.5935e-13
 1  3  0  6.4936e+20  3.9734e-03  2.6182e-13
 0  0  1  2.4760e+20  4.7828e-03  1.6838e-13
 0  1  1  2.4998e+20  5.0950e-03  1.8004e-13
 0  2  1  2.5862e+20  4.8974e-03  1.7698e-13
 0  3  1  2.5145e+20  5.3783e-03  1.9156e-13
 1  0  1  5.1675e+20  3.5659e-03  1.9895e-13
 1  1  1  5.4160e+20  4.0472e-03  2.0151e-13
 1  2  1  5.3324e+20  3.6990e-03  2.3009e-13
 1  3  1  5.1542e+20  3.6646e-03  2.0611e-13
 0  0  2  2.0327e+20  2.4522e-03  1.3079e-13
 0  1  2  2.0335e+20  2.5867e-03  1.4785e-13
 0  2  2  2.1008e+20  2.9312e-03  1.5017e-13
 0  3  2  2.0025e+20  2.6692e-03  1.4988e-13
 1  0  2  4.2047e+20  3.3866e-03  1.6196e-13
 1  1  2  4.3816e+20  3.7581e-03  1.8394e-13
 1  2  2  4.3517e+20  3.3877e-03  1.6754e-13
 1  3  2  4.2384e+20  3.2435e-03  1.6989e-13
 0  0  3  1.5537e+20  1.6887e-03  1.1054e-13
 0  1  3  1.5465e+20  1.7009e-03  9.8974e-14
 0  2  3  1.6571e+20  1.6725e-03  1.0424e-13
 0  3  3  1.6289e+20  1.6970e-03  1.1625e-13
 1  0  3  3.3393e+20  2.7604e-03  1.4109e-13
 1  1  3  3.4980e+20  2.6628e-03  1.4461e-13
 1  2  3  3.4813e+20  2.7336e-03  1.3739e-13
 1  3  3  3.4176e+20  2.7950e-03  1.4034e-13
 0  0  4  1.1923e+20  1.4590e-03  8.9031e-14
 0  1  4  1.1679e+20  1.4272e-03  8.3641e-14
 0  2  4  1.2646e+20  1.6985e-03  9.2285e-14
 0  3  4  1.1958e+20  1.1928e-03  8.4261e-14
 1  0  4  2.5776e+20  2.2054e-03  1.1072e-13
 1  1  4  2.6992e+20  2.4128e-03  1.2433e-13
 1  2  4  2.6508e+20  2.3456e-03  1.1142e-13
 1  3  4  2.6544e+20  2.3702e-03  1.1587e-13
 0  0  5  8.5138e+19  9.5980e-04  5.5492e-14
 0  1  5  8.3706e+19  9.0865e-04  6.4974e-14
 0  2  5  9.0102e+19  1.1473e-03  6.6716e-14
 0  3  5  8.5986e+19  9.2423e-04  7.6877e-14
 1  0  5  1.8743e+20  1.7231e-03  7.9355e-14
 1  1  5  1.9389e+20  1.8228e-03  8.3087e-14
 1  2  5  1.8873e+20  1.8584e-03  8.6584e-14
 1  3  5  1.9157e+20  1.8036e-03  8.9201e-14
 0  0  6  2.2305e+19  2.7606e-04  2.3899e-14
 0  1  6  2.2863e+19  2.2825e-04  2.6094e-14
 0  2  6  2.3768e+19  3.1475e-04  2.2308e-14
 0  3  6  2.2697e+19  3.7142e-04  2.1433e-14
 1  0  6  4.9811e+19  6.4931e-04  2.6757e-14
 1  1  6  5.2129e+19  5.4225e-04  2.6239e-14
 1  2  6  4.8893e+19  6.0884e-04  2.6740e-14
 1  3  6  4.9962e+19  5.1209e-04  2.3210e-14
